date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:34	31122/31122	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2012:59:20%20GMT	https://sadeeqakintola.com/index.html	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/index.html	(from )
23:31:37	5230/5230	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Mar%202022%2022:31:35%20GMT	https://sadeeqakintola.com/robots.txt		(from )
23:31:42	1738/1738	---M--	200	added ('OK')	image/png	etag:%225fc63e28-6ca%22	https://sadeeqakintola.com/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/img/apple-touch-icon.png	(from https://sadeeqakintola.com/index.html)
23:31:43	420846/420846	---M--	200	added ('OK')	image/png	etag:%225fc63e28-66bee%22	https://sadeeqakintola.com/assets/img/favicon.png	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/img/favicon.png	(from https://sadeeqakintola.com/index.html)
23:31:47	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-17bde817800%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/My%20Web%20Sites/PORTFOLIO/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://sadeeqakintola.com/index.html)
23:31:48	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%225fc63e28-27288%22	https://sadeeqakintola.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://sadeeqakintola.com/index.html)
23:31:50	92208/92208	---M-Z	200	added ('OK')	text/css	etag:W/%225fc63e28-16830%22	https://sadeeqakintola.com/assets/vendor/icofont/icofont.min.css	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/icofont/icofont.min.css	(from https://sadeeqakintola.com/index.html)
23:31:51	96345/96345	---MCZ	200	added ('OK')	text/css	etag:W/%225fc63e28-1af66%22	https://sadeeqakintola.com/assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/remixicon/remixicon.css	(from https://sadeeqakintola.com/index.html)
23:31:52	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%225fc63e28-d17%22	https://sadeeqakintola.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://sadeeqakintola.com/index.html)
23:31:54	63235/63235	---M-Z	200	added ('OK')	text/css	etag:W/%225fc63e28-f703%22	https://sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/PORTFOLIO/sadeeqakintola.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://sadeeqakintola.com/index.html)
